,noshuffle,shuffle,sorted
0,0.5678,0.5588,0.3449
1,0.6531,0.6372,0.5303
2,0.6931,0.6929,0.6106
3,0.7243,0.7203,0.6505
4,0.7345,0.7342,0.6738
5,0.7417,0.739,0.6937
6,0.761,0.7471,0.7105
7,0.762,0.7504,0.7159
8,0.7544,0.7687,0.719
9,0.7696,0.7715,0.7274
10,0.7629,0.7727,0.7375
11,0.7778,0.7747,0.7363
12,0.7851,0.7769,0.7463
13,0.7752,0.7887,0.7467
14,0.7897,0.7719,0.7514
15,0.7919,0.7856,0.7503
16,0.7873,0.7868,0.7557
17,0.7832,0.7824,0.7517
18,0.7933,0.7848,0.7567
19,0.7926,0.7898,0.7553